Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
2452798,"November 4, 2022",Maryland,La Plata,3018 Wildflower Dr,4,0,1,0,0,,38.53753468024,-76.956248347785
2448366,"October 30, 2022",Colorado,Aurora,900 block of N Geneva St,4,0,0,0,1,,,
2447217,"October 27, 2022",Oklahoma,Broken Arrow,425 S Hickory Ave,7,0,1,0,0,,36.048091888363,-95.802238222836
2444683,"October 21, 2022",Wisconsin,Hartland,700 Mansfield Court,4,0,2,0,0,,43.096899120725,-88.329372158051
2439423,"October 17, 2022",Virginia,Woodbridge,5297 Mansfield Ct,4,0,0,0,1,,38.652088438102,-77.366777760388
2436826,"October 13, 2022",North Carolina,Raleigh,5300 block of Sahalee Way,5,2,0,1,1,,35.810722147186,-78.539176480833
2439284,"October 9, 2022",Oklahoma,Henryetta,US-75 and Catalpa Rd,4,0,0,0,1,,,
2434247,"October 9, 2022",South Carolina,Inman,280 Bobo Dr,5,0,0,0,1,,35.016956852196,-82.074392250913
2432893,"October 7, 2022",Texas,Fort Worth,1200 block of Jessamine St,4,0,0,0,0,,,
2431069,"October 5, 2022",Texas,Baytown,2000 block of Tri City Beach Rd,4,2,1,0,0,,29.701308772615,-94.943256949718
2426627,"September 29, 2022",Texas,Mc Gregor,901 S Monroe St,5,0,0,1,1,,31.433435204916,-97.405466717829
2410446,"September 9, 2022",Maryland,Elk Mills,47 Hebron Ct,4,0,1,0,0,,39.6604354275,-75.838222665318
2379499,"August 5, 2022",Ohio,Dayton,7120 Hardwicke Pl,4,0,0,0,1,,39.849777326056,-84.216126389451
2379020,"August 4, 2022",Nebraska,Laurel,503 Elm St,4,0,0,0,1,,42.426002649844,-97.091091918364
2377338,"August 2, 2022",Florida,Orlando,9873 Lake District Ln,4,0,1,0,0,,28.423213176812,-81.237278645506
2361614,"July 16, 2022",Texas,Houston,2331 Bammelwood Dr,4,0,0,0,1,,,
2348384,"July 4, 2022",Illinois,Highland Park,Central Ave and 2nd St,7,30,0,0,1,,42.185116103605,-87.800857668837
2323642,"June 7, 2022",Virginia,Portsmouth,1628 Maple Ave,4,0,0,0,1,,36.826526335965,-76.310731316824
2319567,"June 2, 2022",Texas,Centerville,1696 TX-7 W,5,0,1,0,0,,,
2318310,"June 1, 2022",Oklahoma,Tulsa,6161 S Yale Ave,4,0,1,0,0,,36.075073172486,-95.922068736746
2313970,"May 27, 2022",Michigan,Stanwood,10711 185th Ave,4,0,0,1,1,,43.622948855718,-85.453317079564
2310278,"May 24, 2022",Texas,Uvalde,715 Old Carrizo Rd,21,17,1,0,0,,29.200171698962,-99.788021511187
2301751,"May 14, 2022",New York,Buffalo,1275 Jefferson Ave,10,3,0,0,1,,42.909676745528,-78.853895214508
2288842,"April 27, 2022",Mississippi,Biloxi,2688 Beach Blvd,4,0,0,0,0,,30.388807429627,-88.993791815505
2285267,"April 21, 2022",Arkansas,Mountain View,646 Northcutt Rd,4,0,0,0,1,,35.757762614631,-91.934942019041
2283535,"April 20, 2022",Minnesota,Duluth,715 E 12th St,4,0,1,0,0,,46.801891694147,-92.102410243944
2269082,"April 3, 2022",California,Sacramento,J St and 10th St,3,11,3,1,2,,38.580312920026,-121.493461829302
2243861,"February 28, 2022",California,Sacramento,2041 Wyda Way,4,0,1,0,0,,38.600028973728,-121.418834952892
2227058,"February 5, 2022",Texas,Corsicana,2919 W 2nd Ave,7,0,1,0,0,,32.083273550252,-96.495800606464
2217882,"January 23, 2022",California,Inglewood,1300 block of N Park Ave,4,1,0,0,3,,33.979291178004,-118.34533387665
2218159,"January 23, 2022",Wisconsin,Milwaukee,2505 N 21st St,6,0,0,0,1,,43.064274398673,-87.938859396365
2201716,"December 31, 2021",Mississippi,Gulfport,1200 block of Lewis Ave,4,3,0,0,6,,30.361468220659,-89.12876503645
2198521,"December 27, 2021",Colorado,Denver,56 Broadway,5,2,1,0,0,,39.717404288167,-104.987430907875
2178487,"November 30, 2021",Michigan,Oxford,745 N Oxford Rd,4,7,0,0,1,,,
2177416,"November 28, 2021",California,Lancaster,3500 block of Garnet Ln,5,0,0,0,1,,34.687018343286,-118.067254149721
2147301,"October 21, 2021",Washington,Tacoma,4258 Everett St,4,0,0,0,1,,47.218503359876,-122.399428710277
2147042,"October 20, 2021",Michigan,Farwell,9539 S Harrison Ave,4,0,0,0,1,,43.850316767798,-84.828167756466
2125444,"September 25, 2021",Tennessee,Athens,Co Rd 60,4,1,0,0,2,,,
2115947,"September 12, 2021",Minnesota,Saint Paul,7th St W and N Walnut St,4,0,0,0,1,,44.942536000681,-93.105181299471
2108414,"September 5, 2021",Texas,Houston,7518 Imogene St,4,0,0,0,0,,29.68347914148,-95.518656385566
2108302,"September 5, 2021",Florida,Lakeland,N Socrum Loop Rd and Fulton Green Rd,4,1,0,1,1,,28.140987768452,-81.956444737127
2074406,"July 25, 2021",California,Wasco,1718 1st St,4,1,1,0,0,,35.600687393077,-119.345034477814
2068568,"July 20, 2021",Texas,Jacksonville,16241 TX-110,4,0,0,0,3,,,
2035452,"June 15, 2021",Illinois,Chicago,6221 S Morgan St,5,3,0,0,0,,41.781182959385,-87.649604839607
2015730,"May 26, 2021",California,San Jose,101 W Younger Ave,9,0,1,0,0,,37.354705465019,-121.905979774221
2014381,"May 24, 2021",Ohio,West Jefferson,127 Jackson St,4,0,0,0,1,,39.947190399077,-83.273182625843
1999125,"May 9, 2021",Colorado,Colorado Springs,2828 Preakness Way,6,0,1,0,0,,38.791415831963,-104.73240017183
1989840,"April 28, 2021",North Carolina,Boone,553 Hardaman Cir,4,0,1,0,0,,36.212551127633,-81.604690917597
1978635,"April 15, 2021",Indiana,Indianapolis,8951 Mirabel Rd,8,7,1,0,0,,,
1971410,"April 7, 2021",South Carolina,Rock Hill,4456 Marshall Rd,6,0,1,0,0,,34.849921773329,-81.057182569457
1969221,"April 3, 2021",Texas,Allen,1517 Pine Bluff Dr,4,0,2,0,0,,33.091765057838,-96.631198788801
1966181,"March 31, 2021",California,Orange,202 West Lincoln Ave,4,1,0,1,1,,33.835418712423,-117.853407394304
1963598,"March 28, 2021",Maryland,Essex,1601 Middleborough Rd,4,1,1,0,0,,39.305823364595,-76.441618493292
1958652,"March 22, 2021",Colorado,Boulder,3600 Table Mesa Dr,10,0,0,1,1,,39.983794375644,-105.252618836721
1954379,"March 16, 2021",Georgia,Acworth,6468 Hwy 92,8,1,0,0,1,,34.088498113583,-84.580544211704
1952161,"March 13, 2021",Indiana,Indianapolis,300 block of N Randolph St,4,1,0,0,1,,39.770545737534,-86.128399928836
1917909,"February 2, 2021",Oklahoma,Muskogee,903 Indiana St,6,1,0,0,1,,35.732366038731,-95.347866039494
1910136,"January 24, 2021",Indiana,Indianapolis,3540 Adams St,5,1,0,0,1,,39.820743724567,-86.108458059966
1898261,"January 9, 2021",Illinois,Evanston,100 Asbury Ave,5,2,1,0,0,,42.019883489661,-87.690241512368
1886721,"December 25, 2020",Arkansas,Atkins,5180 Pine Ridge Rd,4,0,1,0,0,,35.197440793393,-93.000765222303
1885251,"December 22, 2020",Mississippi,Meridian,Jeffrey Acres Rd,4,0,1,0,0,,,
1876727,"December 13, 2020",West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,0,0,1,,38.433524136745,-81.483139076646
1908063,"December 8, 2020",West Virginia,Williamsburg,611 Flynns Creek Rd,5,0,1,0,0,,,
1866100,"November 30, 2020",Alaska,Palmer,335 N Valley Way,4,0,0,0,1,,61.609601493644,-149.108458376254
1788352,"September 7, 2020",California,Aguanga,45125 CA-371,7,0,0,0,0,,33.455139024101,-116.859119424529
1765336,"August 15, 2020",Michigan,Belleville,24914 Martinsville Rd,4,0,0,0,1,,42.120912568488,-83.460507040787
1749873,"July 29, 2020",Ohio,Elyria,537 Willow Park Rd,4,0,1,0,0,,41.383760253982,-82.114270581386
1739917,"July 19, 2020",Michigan,Detroit,9122 Dexter Ave,4,0,0,0,1,,42.369684317462,-83.117230083466
1728683,"July 7, 2020",New Jersey,Paterson,Harrison St and Carroll St,4,3,0,0,0,,40.922847708055,-74.161555488819
1725081,"July 4, 2020",Illinois,Chicago,6100 block of S Carpenter St,4,4,0,0,0,,41.783234810192,-87.651024645717
1712342,"June 22, 2020",North Carolina,Charlotte,1800 block of Beatties Ford Rd,4,5,0,0,0,,35.260028158737,-80.855150187175
